ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA
4431,Carnesecchi,Marco Carnesecchi,P,14,Atalanta,Italia
2297,Rossi F.,Francesco Rossi,P,1,Atalanta,Italia
4,Sportiello,Marco Sportiello,P,1,Atalanta,Italia
6444,Bonfanti,Giovanni Bonfanti,D,2,Atalanta,Italia
787,Djimsiti,Berat Djimsiti,D,8,Atalanta,Albania;Svizzera
6046,Hien,Isak Hien,D,10,Atalanta,Svezia;Burkina Faso
5526,Scalvini,Giorgio Scalvini,D,8,Atalanta,Italia
5578,Kossounou,Odilon Kossounou,D,9,Atalanta,Costa d''Avorio
2640,Kolasinac,Sead Kolasinac,D,7,Atalanta,Bosnia Erzegovina;Germania
6916,Ahanor,Honest Ahanor,D,6,Atalanta,Italia;Nigeria
4887,Bellanova,Raoul Bellanova,D,13,Atalanta,Italia
6832,Palestra,Marco Palestra,D,3,Cagliari,Italia
554,Zappacosta,Davide Zappacosta,D,13,Atalanta,Italia
22,De Roon,Marten De Roon,C,12,Atalanta,Olanda
5792,Ederson D.S.,Ederson da Silva,C,15,Atalanta,Brasile
6024,Sulemana I.,Ibrahim Sulemana,C,4,Atalanta,Ghana
4947,Brescianini,Marco Brescianini,C,8,Atalanta,Italia
2077,Pasalic,Mario Pasalic,C,10,Atalanta,Croazia
5119,Samardzic,Lazar Samardzic,C,12,Atalanta,Germania;Serbia
4896,Maldini,Daniel Maldini,C,9,Atalanta,Italia;Venezuela
5995,De Ketelaere,Charles De Ketelaere,A,21,Atalanta,Belgio
5918,Sulemana K.,Kamaldeen Sulemana,A,9,Atalanta,Ghana
4730,Lookman,Ademola Lookman,A,28,Atalanta,Inghilterra;Nigeria
2137,Scamacca,Gianluca Scamacca,A,20,Atalanta,Italia
6229,Tourè E.,El Bilal Tourè,A,7,Atalanta,Mali;Costa D''Avorio
7172,Pessina Mas.,Massimo Pessina,P,1,Bologna,Bologna
2722,Ravaglia F.,Federico Ravaglia,P,3,Bologna,Italia
133,Skorupski,Lukasz Skorupski,P,10,Bologna,Polonia
5498,Casale,Nicolò Casale,D,4,Bologna,Italia
4982,Erlic,Martin Erlic,D,3,Bologna,Croazia
6551,Ilic M.,Mihajlo Ilic,D,1,Bologna,Serbia
6042,Lucumì,Jhon Lucumì,D,8,Bologna,Colombia
7068,Vitik,Martin Vitik,D,8,Bologna,Repubblica Ceca
6066,Posch,Stefan Posch,D,5,Bologna,Austria
487,De Silvestri,Lorenzo De Silvestri,D,4,Bologna,Italia
5678,Holm,Emil Holm,D,8,Bologna,Svezia
2653,Lykogiannis,Charalampos Lykogiannis,D,5,Bologna,Grecia
4734,Miranda J.,Juan Miranda,D,9,Bologna,Spagna
6225,El Azzouzi,Oussama El Azzouzi,C,3,Bologna,Marocco;Olanda
788,Freuler,Remo Freuler,C,11,Bologna,Svizzera
6054,Moro N.,Nikola Moro,C,3,Bologna,Croazia
5298,Pobega,Tommaso Pobega,C,8,Bologna,Italia
5784,Aebischer,Michel Aebischer,C,4,Pisa,Svizzera
6206,Fabbian,Giovanni Fabbian,C,10,Bologna,Italia
5858,Ferguson,Lewis Ferguson,C,11,Bologna,Scozia
5564,Ndoye,Dan Ndoye,C,19,Bologna,Svizzera;Senegal
184,Bernardeschi,Federico Bernardeschi,C,9,Bologna,Italia
2167,Orsolini,Riccardo Orsolini,C,30,Bologna,Italia
2765,Odgaard,Jens Odgaard,C,15,Bologna,Danimarca
6895,Dominguez B.,Benjamin Dominguez,A,9,Bologna,Argentina
6459,Karlsson,Jesper Karlsson,A,3,Bologna,Svezia
