ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA,CAMPIONCINO
2297,Rossi F.,Francesco Rossi,P,1,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2297.png?v=341
4,Sportiello,Marco Sportiello,P,1,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4.png?v=341
6444,Bonfanti,Giovanni Bonfanti,D,2,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6444.png?v=341
787,Djimsiti,Berat Djimsiti,D,8,Atalanta,Albania;Svizzera,https://content.fantacalcio.it/web/campioncini/20/card/787.png?v=341
6046,Hien,Isak Hien,D,10,Atalanta,Svezia;Burkina Faso,https://content.fantacalcio.it/web/campioncini/20/card/6046.png?v=341
5526,Scalvini,Giorgio Scalvini,D,8,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5526.png?v=341
5578,Kossounou,Odilon Kossounou,D,9,Atalanta,Costa d''Avorio,https://content.fantacalcio.it/web/campioncini/20/card/5578.png?v=341
2640,Kolasinac,Sead Kolasinac,D,7,Atalanta,Bosnia Erzegovina;Germania,https://content.fantacalcio.it/web/campioncini/20/card/2640.png?v=341
6916,Ahanor,Honest Ahanor,D,6,Atalanta,Italia;Nigeria,https://content.fantacalcio.it/web/campioncini/20/card/6916.png?v=341
4887,Bellanova,Raoul Bellanova,D,13,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4887.png?v=341
6832,Palestra,Marco Palestra,D,3,Cagliari,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6832.png?v=341
554,Zappacosta,Davide Zappacosta,D,13,Atalanta,Italia,https://content.fantacalcio.it/web/campioncini/20/card/554.png?v=341
22,De Roon,Marten De Roon ,C,12,Atalanta,Olanda,https://content.fantacalcio.it/web/campioncini/20/card/22.png?v=341
5792,Ederson D.S.,Ederson da Silva,C,15,Atalanta,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/5792.png?v=341
6024,Sulemana I.,Ibrahim Sulemana,C,4,Atalanta,Ghana,https://content.fantacalcio.it/web/campioncini/20/card/6024.png?v=341
